COD_BASE,NOMBRE_MAT,COD_PRECO,NOMBRE_PRECORREQUISITO,TIPO_REQUISITO
11768,practica profesional,11720,economia colombiana,prerrequisito
11768,practica profesional,11720,economia colombiana,prerrequisito
11768,practica profesional,11721,ingles ii,prerrequisito
11768,practica profesional,11721,ingles ii,prerrequisito
11768,practica profesional,11722,humanidades,prerrequisito
11768,practica profesional,11722,humanidades,prerrequisito
11768,practica profesional,11723,etica general,prerrequisito
11768,practica profesional,11723,etica general,prerrequisito
11768,practica profesional,11724,legislacion comercial,prerrequisito
11768,practica profesional,11724,legislacion comercial,prerrequisito
11768,practica profesional,11725,gestion del recurso humano,prerrequisito
11768,practica profesional,11725,gestion del talento humano,prerrequisito
11768,practica profesional,11726,metodologia y practica de la investigacion,prerrequisito
11768,practica profesional,11726,metodologia y practica de la investigacion,prerrequisito
11768,practica profesional,11727,finanzas,prerrequisito
11768,practica profesional,11727,finanzas,prerrequisito
11768,practica profesional,11728,economia internacional,prerrequisito
11768,practica profesional,11728,economia internacional,prerrequisito
11768,practica profesional,11729,geopolitica,prerrequisito
11768,practica profesional,11729,geopolitica,prerrequisito
11768,practica profesional,11730,legislacion tributaria,prerrequisito
11768,practica profesional,11730,legislacion tributaria,prerrequisito
11768,practica profesional,11731,electiva libre ii,prerrequisito
11768,practica profesional,11733,responsabilidad social empresarial,prerrequisito
11768,practica profesional,11733,gestion ambiental,prerrequisito
11768,practica profesional,11734,problemas de contexto,prerrequisito
11768,practica profesional,11735,finanzas internacionales,prerrequisito
11768,practica profesional,11735,finanzas internacionales,prerrequisito
11768,practica profesional,11736,procesos de mercadeo internacional,prerrequisito
11768,practica profesional,11736,procesos de mercadeo,prerrequisito
11768,practica profesional,11737,exportaciones,prerrequisito
11768,practica profesional,11737,exportaciones,prerrequisito
11768,practica profesional,11738,legislacion cambiaria y aduanera,prerrequisito
11768,practica profesional,11738,legislacion cambiaria y aduanera,prerrequisito
11768,practica profesional,11739,electiva complementaria interdisciplinaria,prerrequisito
11768,practica profesional,11739,electiva complementaria i,prerrequisito
11768,practica profesional,11740,costos y cotizaciones internacionales,prerrequisito
11768,practica profesional,11741,investigacion de mercados internacionales,prerrequisito
11768,practica profesional,11742,etica profesional,prerrequisito
11768,practica profesional,11742,etica profesional,prerrequisito
11768,practica profesional,11743,ingles v,prerrequisito
11768,practica profesional,11743,ingles v,prerrequisito
11768,practica profesional,11744,importaciones,prerrequisito
11768,practica profesional,11744,importaciones,prerrequisito
11768,practica profesional,11745,acuerdos y contratos internacionales,prerrequisito
11768,practica profesional,11745,acuerdos y tratados,prerrequisito
11768,practica profesional,11746,electiva de profundizacion i,prerrequisito
11768,practica profesional,11746,electiva de profundizacion i,prerrequisito
11768,practica profesional,11747,ingles iv,prerrequisito
11768,practica profesional,11747,ingles iv,prerrequisito
11768,practica profesional,11748,negocios internacionales con ti,prerrequisito
11768,practica profesional,11748,sistemas de informacion gerencial,prerrequisito
11768,practica profesional,11749,formulacion de proyectos de negocios internacionales,prerrequisito
11768,practica profesional,11749,preparacion proyectos de negocios internacionales,prerrequisito
11768,practica profesional,11750,gerencia de mercadeo internacional,prerrequisito
11768,practica profesional,11750,gerencia mercadeo internacional,prerrequisito
11768,practica profesional,11751,logistica y distribucion internacional,prerrequisito
11768,practica profesional,11751,logistica y distribucion internacional,prerrequisito
11768,practica profesional,11752,ingles vi,prerrequisito
11768,practica profesional,11752,ingles vi,prerrequisito
11768,practica profesional,11753,electiva complementaria ii,prerrequisito
11768,practica profesional,11754,electiva de profundizacion ii,prerrequisito
11768,practica profesional,11754,electiva de profundizacion ii,prerrequisito
11768,practica profesional,11755,gerencia de negocios internacionales,prerrequisito
11768,practica profesional,11756,seminario de investigacion,prerrequisito
